Unnamed: 0,Classifier_1,Classifier_2,Test,Stat,p-value,Null Hypo,Win,Lost,Dataset
72,NB(M),Stack-LR,t-test,11.6098622041235,1.899639961886839e-05,Reject,Stack-LR,NB(M),Extract Variable
73,NB(M),Stack-DT,t-test,11.6098622041235,1.0,Accept,,,Extract Variable
74,NB(M),TBStack-LR,t-test,11.6098622041235,5.922576600845027e-06,Reject,TBStack-LR,NB(M),Extract Variable
75,NB(M),TBStack-DT,t-test,11.6098622041235,1.0,Accept,,,Extract Variable
77,KNN,Stack-LR,t-test,11.6098622041235,0.08817742374212353,Accept,,,Extract Variable
78,KNN,Stack-DT,t-test,11.6098622041235,0.002869006821337448,Reject,KNN,Stack-DT,Extract Variable
79,KNN,TBStack-LR,t-test,11.6098622041235,0.008058633948864647,Reject,TBStack-LR,KNN,Extract Variable
80,KNN,TBStack-DT,t-test,11.6098622041235,0.1390573733626973,Accept,,,Extract Variable
85,Stack-LR,Stack-DT,t-test,11.6098622041235,1.715613444641705e-06,Reject,Stack-LR,Stack-DT,Extract Variable
86,Stack-LR,TBStack-LR,t-test,11.6098622041235,0.09925470682868988,Accept,,,Extract Variable
87,Stack-LR,TBStack-DT,t-test,11.6098622041235,4.908529640843224e-05,Reject,Stack-LR,TBStack-DT,Extract Variable
88,Stack-DT,TBStack-LR,t-test,11.6098622041235,5.629961598578528e-07,Reject,TBStack-LR,Stack-DT,Extract Variable
89,Stack-DT,TBStack-DT,t-test,11.6098622041235,1.0,Accept,,,Extract Variable
90,TBStack-LR,TBStack-DT,t-test,11.6098622041235,9.280672474871285e-05,Reject,TBStack-LR,TBStack-DT,Extract Variable
0,DT,LR,Wilcoxon,0.0,1.254911081776055e-05,Reject,DT,LR,Inline Variable
1,DT,SVM,Wilcoxon,0.0,0.0001106270205230007,Reject,DT,SVM,Inline Variable
2,DT,MLP,Wilcoxon,0.0,4.181694100695941e-06,Reject,MLP,DT,Inline Variable
3,DT,SGD,Wilcoxon,0.0,1.116158926391678e-05,Reject,DT,SGD,Inline Variable
4,DT,NB(B),Wilcoxon,0.0,7.580823174042099e-08,Reject,DT,NB(B),Inline Variable
5,DT,NB(G),Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
6,DT,NB(M),Wilcoxon,0.0,9.741515948884445e-09,Reject,DT,NB(M),Inline Variable
7,DT,KNN,Wilcoxon,0.0,1.0,Accept,,,Inline Variable
9,DT,Stack-LR,Wilcoxon,0.0,7.025283524415782e-09,Reject,Stack-LR,DT,Inline Variable
10,DT,Stack-DT,Wilcoxon,0.0,0.968897760863672,Accept,,,Inline Variable
11,DT,TBStack-LR,Wilcoxon,0.0,7.442540178267585e-11,Reject,TBStack-LR,DT,Inline Variable
12,DT,TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
13,LR,SVM,Wilcoxon,0.0,0.001364145984574706,Reject,SVM,LR,Inline Variable
14,LR,MLP,Wilcoxon,0.0,2.619370411950078e-09,Reject,MLP,LR,Inline Variable
15,LR,SGD,Wilcoxon,0.0,0.07204695495799583,Accept,,,Inline Variable
16,LR,NB(B),Wilcoxon,0.0,4.900964005413071e-06,Reject,LR,NB(B),Inline Variable
17,LR,NB(G),Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
18,LR,NB(M),Wilcoxon,0.0,4.606196912312214e-08,Reject,LR,NB(M),Inline Variable
19,LR,KNN,Wilcoxon,0.0,0.0001074907837034975,Reject,KNN,LR,Inline Variable
21,LR,Stack-LR,Wilcoxon,0.0,1.467602293596232e-09,Reject,Stack-LR,LR,Inline Variable
22,LR,Stack-DT,Wilcoxon,0.0,0.0007987073349235089,Reject,Stack-DT,LR,Inline Variable
23,LR,TBStack-LR,Wilcoxon,0.0,1.290816953039056e-11,Reject,TBStack-LR,LR,Inline Variable
24,LR,TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
25,SVM,MLP,Wilcoxon,0.0,1.836341198246458e-08,Reject,MLP,SVM,Inline Variable
26,SVM,SGD,Wilcoxon,0.0,0.00100698926308261,Reject,SVM,SGD,Inline Variable
27,SVM,NB(B),Wilcoxon,0.0,8.320374424821482e-07,Reject,SVM,NB(B),Inline Variable
28,SVM,NB(G),Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
29,SVM,NB(M),Wilcoxon,0.0,2.41831943106117e-08,Reject,SVM,NB(M),Inline Variable
30,SVM,KNN,Wilcoxon,0.0,0.0007042370854753197,Reject,KNN,SVM,Inline Variable
32,SVM,Stack-LR,Wilcoxon,0.0,1.087988869075707e-08,Reject,Stack-LR,SVM,Inline Variable
33,SVM,Stack-DT,Wilcoxon,0.0,0.008035304359889408,Reject,Stack-DT,SVM,Inline Variable
34,SVM,TBStack-LR,Wilcoxon,0.0,2.403604585137742e-11,Reject,TBStack-LR,SVM,Inline Variable
35,SVM,TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
36,MLP,SGD,Wilcoxon,0.0,1.069654291129327e-07,Reject,MLP,SGD,Inline Variable
37,MLP,NB(B),Wilcoxon,0.0,2.819468337967379e-09,Reject,MLP,NB(B),Inline Variable
38,MLP,NB(G),Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
39,MLP,NB(M),Wilcoxon,0.0,4.616145092077621e-10,Reject,MLP,NB(M),Inline Variable
40,MLP,KNN,Wilcoxon,0.0,0.0001850781853601558,Reject,MLP,KNN,Inline Variable
42,MLP,Stack-LR,Wilcoxon,0.0,2.547559037637448e-05,Reject,Stack-LR,MLP,Inline Variable
43,MLP,Stack-DT,Wilcoxon,0.0,1.457892003198731e-05,Reject,MLP,Stack-DT,Inline Variable
44,MLP,TBStack-LR,Wilcoxon,0.0,1.771252654204853e-11,Reject,TBStack-LR,MLP,Inline Variable
45,MLP,TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
46,SGD,NB(B),Wilcoxon,0.0,0.0001677762273617732,Reject,SGD,NB(B),Inline Variable
47,SGD,NB(G),Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
48,SGD,NB(M),Wilcoxon,0.0,2.625004632179002e-06,Reject,SGD,NB(M),Inline Variable
49,SGD,KNN,Wilcoxon,0.0,6.5577065957129e-06,Reject,KNN,SGD,Inline Variable
51,SGD,Stack-LR,Wilcoxon,0.0,9.716824816133704e-09,Reject,Stack-LR,SGD,Inline Variable
52,SGD,Stack-DT,Wilcoxon,0.0,0.0002562786438732929,Reject,Stack-DT,SGD,Inline Variable
53,SGD,TBStack-LR,Wilcoxon,0.0,3.600107228584913e-10,Reject,TBStack-LR,SGD,Inline Variable
54,SGD,TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
55,NB(B),NB(G),Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
56,NB(B),NB(M),Wilcoxon,0.0,1.0,Accept,,,Inline Variable
57,NB(B),KNN,Wilcoxon,0.0,2.655450011488872e-07,Reject,KNN,NB(B),Inline Variable
59,NB(B),Stack-LR,Wilcoxon,0.0,5.163938925378991e-10,Reject,Stack-LR,NB(B),Inline Variable
60,NB(B),Stack-DT,Wilcoxon,0.0,3.428490749495434e-07,Reject,Stack-DT,NB(B),Inline Variable
61,NB(B),TBStack-LR,Wilcoxon,0.0,1.933469178477963e-11,Reject,TBStack-LR,NB(B),Inline Variable
62,NB(B),TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
63,NB(G),NB(M),Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
64,NB(G),KNN,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
66,NB(G),Stack-LR,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
67,NB(G),Stack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
68,NB(G),TBStack-LR,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
69,NB(G),TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
70,NB(M),KNN,Wilcoxon,0.0,3.660140720700107e-08,Reject,KNN,NB(M),Inline Variable
72,NB(M),Stack-LR,Wilcoxon,0.0,1.474940756968998e-10,Reject,Stack-LR,NB(M),Inline Variable
73,NB(M),Stack-DT,Wilcoxon,0.0,6.833626817958762e-07,Reject,Stack-DT,NB(M),Inline Variable
74,NB(M),TBStack-LR,Wilcoxon,0.0,9.523389571537315e-12,Reject,TBStack-LR,NB(M),Inline Variable
75,NB(M),TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
77,KNN,Stack-LR,Wilcoxon,0.0,8.661652475861199e-07,Reject,Stack-LR,KNN,Inline Variable
78,KNN,Stack-DT,Wilcoxon,0.0,1.0,Accept,,,Inline Variable
79,KNN,TBStack-LR,Wilcoxon,0.0,1.037153725744024e-09,Reject,TBStack-LR,KNN,Inline Variable
80,KNN,TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
85,Stack-LR,Stack-DT,Wilcoxon,0.0,6.446113746219657e-08,Reject,Stack-LR,Stack-DT,Inline Variable
86,Stack-LR,TBStack-LR,Wilcoxon,0.0,1.862273356302599e-09,Reject,TBStack-LR,Stack-LR,Inline Variable
87,Stack-LR,TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
88,Stack-DT,TBStack-LR,Wilcoxon,0.0,6.330059263005026e-11,Reject,TBStack-LR,Stack-DT,Inline Variable
89,Stack-DT,TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
90,TBStack-LR,TBStack-DT,Wilcoxon,0.0,0.177734375,Accept,,,Inline Variable
0,DT,LR,t-test,27.05131496877111,0.0001065932810909997,Reject,DT,LR,Parameterize Variable
1,DT,SVM,t-test,27.05131496877111,0.0003759744122230747,Reject,DT,SVM,Parameterize Variable
2,DT,MLP,t-test,27.05131496877111,1.0,Accept,,,Parameterize Variable
3,DT,SGD,t-test,27.05131496877111,8.361298121976155e-05,Reject,DT,SGD,Parameterize Variable
4,DT,NB(B),t-test,27.05131496877111,9.276026655170002e-09,Reject,DT,NB(B),Parameterize Variable
5,DT,NB(G),t-test,27.05131496877111,4.201513422069399e-09,Reject,DT,NB(G),Parameterize Variable
6,DT,NB(M),t-test,27.05131496877111,4.695133852101e-07,Reject,DT,NB(M),Parameterize Variable
7,DT,KNN,t-test,27.05131496877111,0.006356645742404262,Reject,DT,KNN,Parameterize Variable
9,DT,Stack-LR,t-test,27.05131496877111,4.794112268457128e-05,Reject,Stack-LR,DT,Parameterize Variable
10,DT,Stack-DT,t-test,27.05131496877111,0.006599509021065035,Reject,DT,Stack-DT,Parameterize Variable
11,DT,TBStack-LR,t-test,27.05131496877111,5.813720436502357e-08,Reject,TBStack-LR,DT,Parameterize Variable
12,DT,TBStack-DT,t-test,27.05131496877111,6.550778179220534e-06,Reject,TBStack-DT,DT,Parameterize Variable
13,LR,SVM,t-test,27.05131496877111,0.001330277934395266,Reject,SVM,LR,Parameterize Variable
14,LR,MLP,t-test,27.05131496877111,5.537501882850602e-07,Reject,MLP,LR,Parameterize Variable
15,LR,SGD,t-test,27.05131496877111,0.01851460127882542,Reject,LR,SGD,Parameterize Variable
16,LR,NB(B),t-test,27.05131496877111,8.421731020572044e-05,Reject,LR,NB(B),Parameterize Variable
17,LR,NB(G),t-test,27.05131496877111,2.202756289456739e-08,Reject,LR,NB(G),Parameterize Variable
18,LR,NB(M),t-test,27.05131496877111,3.326017503897669e-05,Reject,LR,NB(M),Parameterize Variable
19,LR,KNN,t-test,27.05131496877111,0.0002795734823009918,Reject,KNN,LR,Parameterize Variable
21,LR,Stack-LR,t-test,27.05131496877111,4.571176643516681e-08,Reject,Stack-LR,LR,Parameterize Variable
22,LR,Stack-DT,t-test,27.05131496877111,0.01619839651488593,Reject,Stack-DT,LR,Parameterize Variable
23,LR,TBStack-LR,t-test,27.05131496877111,7.085405274570173e-09,Reject,TBStack-LR,LR,Parameterize Variable
24,LR,TBStack-DT,t-test,27.05131496877111,1.73322392881563e-07,Reject,TBStack-DT,LR,Parameterize Variable
25,SVM,MLP,t-test,27.05131496877111,2.399944317268706e-06,Reject,MLP,SVM,Parameterize Variable
26,SVM,SGD,t-test,27.05131496877111,0.0005823320593258862,Reject,SVM,SGD,Parameterize Variable
27,SVM,NB(B),t-test,27.05131496877111,3.913675085212427e-05,Reject,SVM,NB(B),Parameterize Variable
28,SVM,NB(G),t-test,27.05131496877111,2.012174541734819e-08,Reject,SVM,NB(G),Parameterize Variable
29,SVM,NB(M),t-test,27.05131496877111,1.51802959024122e-05,Reject,SVM,NB(M),Parameterize Variable
30,SVM,KNN,t-test,27.05131496877111,0.002694749960443587,Reject,KNN,SVM,Parameterize Variable
32,SVM,Stack-LR,t-test,27.05131496877111,1.969608883442627e-07,Reject,Stack-LR,SVM,Parameterize Variable
33,SVM,Stack-DT,t-test,27.05131496877111,0.1067067163024265,Accept,,,Parameterize Variable
34,SVM,TBStack-LR,t-test,27.05131496877111,2.153813001176248e-08,Reject,TBStack-LR,SVM,Parameterize Variable
35,SVM,TBStack-DT,t-test,27.05131496877111,5.095409593779987e-07,Reject,TBStack-DT,SVM,Parameterize Variable
36,MLP,SGD,t-test,27.05131496877111,1.420844455109731e-06,Reject,MLP,SGD,Parameterize Variable
37,MLP,NB(B),t-test,27.05131496877111,4.112833647061312e-10,Reject,MLP,NB(B),Parameterize Variable
38,MLP,NB(G),t-test,27.05131496877111,6.425069268691246e-11,Reject,MLP,NB(G),Parameterize Variable
39,MLP,NB(M),t-test,27.05131496877111,7.497815386533945e-10,Reject,MLP,NB(M),Parameterize Variable
40,MLP,KNN,t-test,27.05131496877111,5.890560916989994e-05,Reject,MLP,KNN,Parameterize Variable
42,MLP,Stack-LR,t-test,27.05131496877111,2.863004593133186e-06,Reject,Stack-LR,MLP,Parameterize Variable
43,MLP,Stack-DT,t-test,27.05131496877111,0.0004716554493634765,Reject,MLP,Stack-DT,Parameterize Variable
44,MLP,TBStack-LR,t-test,27.05131496877111,1.94730854477977e-09,Reject,TBStack-LR,MLP,Parameterize Variable
45,MLP,TBStack-DT,t-test,27.05131496877111,2.457219019944145e-07,Reject,TBStack-DT,MLP,Parameterize Variable
46,SGD,NB(B),t-test,27.05131496877111,0.001733248429792032,Reject,SGD,NB(B),Parameterize Variable
47,SGD,NB(G),t-test,27.05131496877111,1.325790768704396e-07,Reject,SGD,NB(G),Parameterize Variable
48,SGD,NB(M),t-test,27.05131496877111,0.002454604670490323,Reject,SGD,NB(M),Parameterize Variable
49,SGD,KNN,t-test,27.05131496877111,0.0002378814735021699,Reject,KNN,SGD,Parameterize Variable
51,SGD,Stack-LR,t-test,27.05131496877111,9.450758338432357e-08,Reject,Stack-LR,SGD,Parameterize Variable
52,SGD,Stack-DT,t-test,27.05131496877111,0.005042692931234235,Reject,Stack-DT,SGD,Parameterize Variable
53,SGD,TBStack-LR,t-test,27.05131496877111,1.443941065152942e-08,Reject,TBStack-LR,SGD,Parameterize Variable
54,SGD,TBStack-DT,t-test,27.05131496877111,4.192179949418304e-07,Reject,TBStack-DT,SGD,Parameterize Variable
55,NB(B),NB(G),t-test,27.05131496877111,3.448279355543766e-08,Reject,NB(B),NB(G),Parameterize Variable
56,NB(B),NB(M),t-test,27.05131496877111,0.2462102241664197,Accept,,,Parameterize Variable
57,NB(B),KNN,t-test,27.05131496877111,1.464541950712101e-08,Reject,KNN,NB(B),Parameterize Variable
59,NB(B),Stack-LR,t-test,27.05131496877111,1.15726307778858e-10,Reject,Stack-LR,NB(B),Parameterize Variable
60,NB(B),Stack-DT,t-test,27.05131496877111,6.390561567684471e-07,Reject,Stack-DT,NB(B),Parameterize Variable
61,NB(B),TBStack-LR,t-test,27.05131496877111,3.471784504582433e-11,Reject,TBStack-LR,NB(B),Parameterize Variable
62,NB(B),TBStack-DT,t-test,27.05131496877111,1.023039805428912e-10,Reject,TBStack-DT,NB(B),Parameterize Variable
63,NB(G),NB(M),t-test,27.05131496877111,2.835812348023901e-08,Reject,NB(M),NB(G),Parameterize Variable
64,NB(G),KNN,t-test,27.05131496877111,1.982186186760044e-10,Reject,KNN,NB(G),Parameterize Variable
66,NB(G),Stack-LR,t-test,27.05131496877111,2.582174868781307e-11,Reject,Stack-LR,NB(G),Parameterize Variable
67,NB(G),Stack-DT,t-test,27.05131496877111,6.711009150449597e-10,Reject,Stack-DT,NB(G),Parameterize Variable
68,NB(G),TBStack-LR,t-test,27.05131496877111,2.489227626230348e-12,Reject,TBStack-LR,NB(G),Parameterize Variable
69,NB(G),TBStack-DT,t-test,27.05131496877111,2.272208689813341e-11,Reject,TBStack-DT,NB(G),Parameterize Variable
70,NB(M),KNN,t-test,27.05131496877111,1.710159689414966e-08,Reject,KNN,NB(M),Parameterize Variable
72,NB(M),Stack-LR,t-test,27.05131496877111,2.806873062169877e-11,Reject,Stack-LR,NB(M),Parameterize Variable
73,NB(M),Stack-DT,t-test,27.05131496877111,4.220648864485353e-06,Reject,Stack-DT,NB(M),Parameterize Variable
74,NB(M),TBStack-LR,t-test,27.05131496877111,6.93256563365505e-11,Reject,TBStack-LR,NB(M),Parameterize Variable
75,NB(M),TBStack-DT,t-test,27.05131496877111,1.175370440778895e-09,Reject,TBStack-DT,NB(M),Parameterize Variable
77,KNN,Stack-LR,t-test,27.05131496877111,5.731755627514765e-08,Reject,Stack-LR,KNN,Parameterize Variable
78,KNN,Stack-DT,t-test,27.05131496877111,1.0,Accept,,,Parameterize Variable
79,KNN,TBStack-LR,t-test,27.05131496877111,1.010033152712959e-09,Reject,TBStack-LR,KNN,Parameterize Variable
80,KNN,TBStack-DT,t-test,27.05131496877111,1.430161633195323e-07,Reject,TBStack-DT,KNN,Parameterize Variable
85,Stack-LR,Stack-DT,t-test,27.05131496877111,4.110324694051947e-06,Reject,Stack-LR,Stack-DT,Parameterize Variable
86,Stack-LR,TBStack-LR,t-test,27.05131496877111,8.04420001707579e-08,Reject,TBStack-LR,Stack-LR,Parameterize Variable
87,Stack-LR,TBStack-DT,t-test,27.05131496877111,0.007694500318477892,Reject,TBStack-DT,Stack-LR,Parameterize Variable
88,Stack-DT,TBStack-LR,t-test,27.05131496877111,9.072954048120655e-09,Reject,TBStack-LR,Stack-DT,Parameterize Variable
89,Stack-DT,TBStack-DT,t-test,27.05131496877111,7.950948137298304e-07,Reject,TBStack-DT,Stack-DT,Parameterize Variable
90,TBStack-LR,TBStack-DT,t-test,27.05131496877111,5.681948405762287e-08,Reject,TBStack-LR,TBStack-DT,Parameterize Variable
0,DT,LR,t-test,11.06621636868138,1.000792528266619e-12,Reject,DT,LR,Rename Parameter
1,DT,SVM,t-test,11.06621636868138,1.301000946488395e-12,Reject,DT,SVM,Rename Parameter
2,DT,MLP,t-test,11.06621636868138,3.019075921969131e-09,Reject,DT,MLP,Rename Parameter
3,DT,SGD,t-test,11.06621636868138,4.961960735513298e-13,Reject,DT,SGD,Rename Parameter
4,DT,NB(B),t-test,11.06621636868138,2.116508392266326e-13,Reject,DT,NB(B),Rename Parameter
5,DT,NB(G),t-test,11.06621636868138,2.771734125793142e-16,Reject,DT,NB(G),Rename Parameter
6,DT,NB(M),t-test,11.06621636868138,3.308628340279284e-13,Reject,DT,NB(M),Rename Parameter
7,DT,KNN,t-test,11.06621636868138,1.152889226398312e-10,Reject,DT,KNN,Rename Parameter
9,DT,Stack-LR,t-test,11.06621636868138,4.119040453549148e-07,Reject,Stack-LR,DT,Rename Parameter
10,DT,Stack-DT,t-test,11.06621636868138,4.543388330627154e-06,Reject,DT,Stack-DT,Rename Parameter
11,DT,TBStack-LR,t-test,11.06621636868138,3.476490450137881e-09,Reject,TBStack-LR,DT,Rename Parameter
12,DT,TBStack-DT,t-test,11.06621636868138,1.893273013082718e-09,Reject,TBStack-DT,DT,Rename Parameter
13,LR,SVM,t-test,11.06621636868138,0.2253122247918531,Accept,,,Rename Parameter
14,LR,MLP,t-test,11.06621636868138,2.384606516013916e-08,Reject,MLP,LR,Rename Parameter
15,LR,SGD,t-test,11.06621636868138,6.897821988317423e-06,Reject,LR,SGD,Rename Parameter
16,LR,NB(B),t-test,11.06621636868138,6.988508171904719e-08,Reject,LR,NB(B),Rename Parameter
17,LR,NB(G),t-test,11.06621636868138,4.676832503126818e-12,Reject,LR,NB(G),Rename Parameter
18,LR,NB(M),t-test,11.06621636868138,3.069498285101896e-09,Reject,LR,NB(M),Rename Parameter
19,LR,KNN,t-test,11.06621636868138,1.395111203403504e-11,Reject,KNN,LR,Rename Parameter
21,LR,Stack-LR,t-test,11.06621636868138,8.600308154377153e-13,Reject,Stack-LR,LR,Rename Parameter
22,LR,Stack-DT,t-test,11.06621636868138,5.335469030175925e-12,Reject,Stack-DT,LR,Rename Parameter
23,LR,TBStack-LR,t-test,11.06621636868138,3.730572198977845e-13,Reject,TBStack-LR,LR,Rename Parameter
24,LR,TBStack-DT,t-test,11.06621636868138,6.987772096095156e-13,Reject,TBStack-DT,LR,Rename Parameter
25,SVM,MLP,t-test,11.06621636868138,3.635880502404911e-08,Reject,MLP,SVM,Rename Parameter
26,SVM,SGD,t-test,11.06621636868138,2.26505302348904e-06,Reject,SVM,SGD,Rename Parameter
